Date,Close Price,Open,High,Low,Vol.,Change %
21-Mar-19,6167.2,"6,165.30","6,171.90","6,134.00",874.01M,0.03%
22-Mar-19,6195.2,"6,167.20","6,227.10","6,167.20",537.96M,0.45%
25-Mar-19,6126.2,"6,195.20","6,195.20","6,113.20",570.14M,-1.11%
26-Mar-19,6130.6,"6,126.20","6,141.10","6,116.80",680.98M,0.07%
27-Mar-19,6136,"6,130.60","6,136.00","6,096.80",656.94M,0.09%
28-Mar-19,6176.1,"6,136.00","6,176.10","6,115.10",648.09M,0.65%
29-Mar-19,6180.7,"6,176.10","6,213.40","6,176.10",789.63M,0.07%
1-Apr-19,6217,"6,180.70","6,234.60","6,180.70",581.97M,0.59%
2-Apr-19,6242.4,"6,217.00","6,270.60","6,217.00",656.24M,0.41%
3-Apr-19,6285,"6,242.40","6,287.90","6,242.40",614.10M,0.68%
4-Apr-19,6232.8,"6,285.00","6,285.00","6,221.10",638.83M,-0.83%
5-Apr-19,6181.3,"6,232.80","6,232.80","6,169.80",494.45M,-0.83%
8-Apr-19,6221.4,"6,181.30","6,221.40","6,181.30",502.37M,0.65%
9-Apr-19,6221.8,"6,221.40","6,228.90","6,203.70",539.39M,0.01%
10-Apr-19,6223.5,"6,221.80","6,235.40","6,199.30",452.94M,0.03%
11-Apr-19,6198.7,"6,223.50","6,223.50","6,184.00",499.27M,-0.40%
12-Apr-19,6251.3,"6,198.70","6,251.30","6,198.70",518.93M,0.85%
15-Apr-19,6251.4,"6,251.30","6,259.40","6,238.90",468.75M,0.00%
16-Apr-19,6277.4,"6,251.40","6,282.80","6,237.60",536.85M,0.42%
17-Apr-19,6256.4,"6,277.40","6,286.00","6,249.60",569.59M,-0.33%
18-Apr-19,6259.8,"6,256.40","6,280.40","6,248.20",564.41M,0.05%
23-Apr-19,6319.4,"6,259.80","6,321.70","6,259.80",539.30M,0.95%
24-Apr-19,6382.1,"6,319.40","6,390.50","6,319.40",660.66M,0.99%
26-Apr-19,6385.6,"6,382.10","6,388.20","6,362.30",553.48M,0.05%
29-Apr-19,6359.5,"6,385.60","6,385.60","6,348.00",469.43M,-0.41%
30-Apr-19,6325.5,"6,359.50","6,359.50","6,316.30",613.73M,-0.53%
1-May-19,6375.9,"6,325.50","6,380.20","6,325.50",567.49M,0.80%
2-May-19,6338.4,"6,375.90","6,375.90","6,323.50",670.59M,-0.59%
3-May-19,6335.8,"6,338.40","6,355.00","6,327.20",520.29M,-0.04%
6-May-19,6283.7,"6,335.80","6,335.80","6,248.40",552.00M,-0.82%
7-May-19,6295.7,"6,283.70","6,341.90","6,283.70",511.04M,0.19%
8-May-19,6269.1,"6,295.70","6,295.70","6,241.50",562.29M,-0.42%
9-May-19,6295.3,"6,269.10","6,300.20","6,258.80",550.54M,0.42%
10-May-19,6310.9,"6,295.30","6,317.40","6,283.60",516.08M,0.25%
13-May-19,6297.6,"6,310.90","6,310.90","6,277.90",512.58M,-0.21%
14-May-19,6239.9,"6,297.60","6,297.60","6,203.10",685.23M,-0.92%
